Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Sales,Payment,cogs,gross margin percentage,gross income,Rating
Cairo,Yangon,Normal,Male,Electronic accessories,70.98688762427383,9,32.62815221708556,116.29887466138062,Ewallet,100.43909700264216,4.76190476,11.628601151477227,9.642682467740581
Alex,Mandalay,Member,Female,Health and beauty,68.25864562744897,7,26.91151137586956,102.26540909535152,Ewallet,63.04041238719539,4.76190476,2.0818212811382217,9.301870104109756
Alex,Naypyitaw,Member,Female,Food and beverages,45.140806667390606,10,9.146890492802907,443.0977494439042,Cash,186.81500333296154,4.76190476,3.822717711081169,4.701390905290151
Alex,Naypyitaw,Member,Male,Sports and travel,63.61786210165997,9,3.5875926129418994,458.03539417150665,Cash,161.80593876182994,4.76190476,6.275882231192519,9.996965312065
Cairo,Mandalay,Member,Female,Health and beauty,90.83638392026943,10,7.8836316900177135,104.48470986192184,Cash,189.83528742362859,4.76190476,7.337250458912193,5.077574434436979
Cairo,Yangon,Member,Male,Home and lifestyle,85.40934756205965,1,3.323347042095717,224.0119244284839,Credit card,328.503984624987,4.76190476,4.45594661325933,5.481818095287588
Giza,Naypyitaw,Member,Female,Health and beauty,31.65957018283746,3,14.939039969563536,141.71876344329263,Ewallet,55.77465619777171,4.76190476,5.212075336281446,4.660544078994631
Alex,Mandalay,Normal,Female,Food and beverages,70.04996077951598,7,8.42470707859077,198.6293235349734,Ewallet,264.7277529383665,4.76190476,2.6796298950668347,9.105410727105903
Giza,Mandalay,Normal,Male,Fashion accessories,89.45146456693158,3,7.310118898348271,146.79524927235295,Credit card,156.2031593313118,4.76190476,6.0235835909719775,6.307092086435278
Cairo,Mandalay,Member,Male,Fashion accessories,46.355764230131854,1,4.956091961625605,177.22048480808616,Cash,112.9659062507107,4.76190476,1.9493397962663939,7.3006167693200705
Giza,Mandalay,Normal,Female,Fashion accessories,88.59996856326696,2,7.641541879985972,266.3032793262453,Cash,586.3589004693206,4.76190476,9.577077241167707,7.6087847970346765
Cairo,Naypyitaw,Member,Female,Sports and travel,32.21793013209238,3,5.053371195730002,346.76915167572247,Cash,533.043206179113,4.76190476,2.772034525535003,8.546053552205425
